run,encoder,train_dataset,eval_dataset,split,variant,epoch,step,checkpoint,eval_rows,tp,fp,fn,biored_precision,biored_recall,biored_f1,micro_f1_all_classes,macro_f1_all_classes,negative_discrimination_f1
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,1,522,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-522,2326,554,536,609,0.5082568807339449,0.4763542562338779,0.4917887261429205,0.650042992261393,0.2333539541729428,0.7856191744340878
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,1,522,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-522,10097,554,1814,609,0.2339527027027027,0.4763542562338779,0.313792126876239,0.7928097454689512,0.1974293458604418,0.5012744265080714
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,2,1044,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1044,2326,673,457,490,0.595575221238938,0.5786758383490972,0.5870039249890971,0.70335339638865,0.2852141036680386,0.8111644134321849
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,2,1044,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1044,10097,673,1927,490,0.2588461538461538,0.5786758383490972,0.3576933297900611,0.786075071803506,0.2214667153008838,0.4942864735583311
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,3,1566,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1566,2326,578,403,585,0.5891946992864424,0.4969905417024935,0.539179104477612,0.6792777300085985,0.330491202704699,0.7649253731343283
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,3,1566,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-1566,10097,578,1532,585,0.2739336492890995,0.4969905417024935,0.3531927894897647,0.81430127760721,0.2567635923980991,0.5010693553315001
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,4,2088,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-2088,2326,670,429,493,0.6096451319381255,0.5760963026655203,0.592396109637489,0.705932932072227,0.4298131414279659,0.8028293545534925
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,4,2088,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-2088,10097,670,1807,493,0.2704884941461445,0.5760963026655203,0.3681318681318681,0.7957809250272359,0.3440078660916746,0.4989010989010989
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,5,2610,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-2610,2326,736,407,427,0.6439195100612424,0.6328460877042132,0.6383347788378145,0.7351676698194325,0.5466821743323037,0.8274067649609713
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,5,2610,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-2610,10097,736,1792,427,0.2911392405063291,0.6328460877042132,0.3988079111351937,0.8018223234624146,0.4470038738044222,0.5169330804659984
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,6,3132,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-3132,2326,725,425,438,0.6304347826086957,0.6233877901977644,0.6268914829226113,0.7278589853826312,0.4733902163376795,0.825767401642888
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,6,3132,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-3132,10097,725,1874,438,0.2789534436321662,0.6233877901977644,0.3854332801701223,0.7938001386550461,0.3644447400066807,0.5077086656034024
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,7,3654,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-3654,2326,726,412,437,0.6379613356766256,0.6242476354256233,0.6310299869621903,0.7304385210662081,0.5563619030859771,0.8239895697522817
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,7,3654,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-3654,10097,726,1842,437,0.2827102803738318,0.6242476354256233,0.3891718038059501,0.7962761216202833,0.4295008636870567,0.508174752077191
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,8,4176,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-4176,2326,715,433,448,0.622822299651568,0.6147893379191746,0.6187797490263955,0.7235597592433362,0.5131381270441879,0.8247511899610559
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,8,4176,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-4176,10097,715,1935,448,0.269811320754717,0.6147893379191746,0.3750327825858904,0.7875606615826483,0.3922146255688489,0.4998688696564385
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,9,4698,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-4698,2326,672,410,491,0.6210720887245841,0.5778159931212382,0.598663697104677,0.7171109200343938,0.56791394295488,0.8151447661469934
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,9,4698,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-4698,10097,672,1736,491,0.2790697674418604,0.5778159931212382,0.3763651638196584,0.8035059918787759,0.4536772542979985,0.5124614953794455
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,matched_norelation,10,5220,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-5220,2326,688,408,475,0.6277372262773723,0.5915735167669819,0.6091190792386011,0.7226999140154772,0.5854111214629087,0.8198317839752103
relations-bert-2026-07-01_18-38-41_BioRed_micro,NeuML/pubmedbert-base-embeddings,BioRed,BioRed,Test,full_norelation,10,5220,relations-bert-2026-07-01_18-38-41_BioRed_micro/checkpoint-5220,10097,688,1780,475,0.2787682333873582,0.5915735167669819,0.3789589644725971,0.8002376943646627,0.4625705500857948,0.5100523271825943
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,1,476,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-476,1962,494,490,496,0.5020325203252033,0.498989898989899,0.5005065856129686,0.6121304791029561,0.2313546614026829,0.7284701114488349
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,2,952,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-952,1962,567,492,423,0.5354107648725213,0.5727272727272728,0.5534407027818449,0.6503567787971458,0.3063047957554554,0.776964372864812
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,3,1428,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-1428,1962,439,334,551,0.5679172056921087,0.4434343434343434,0.4980147475893363,0.6467889908256881,0.3330023154953668,0.7158252977878616
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,4,1904,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-1904,1962,650,494,340,0.5681818181818182,0.6565656565656566,0.6091846298031864,0.6799184505606524,0.4839214903601572,0.802249297094658
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,5,2380,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-2380,1962,544,371,446,0.594535519125683,0.5494949494949495,0.5711286089238845,0.6829765545361876,0.4755365742403608,0.7758530183727034
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,6,2856,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-2856,1962,555,358,435,0.6078860898138007,0.5606060606060606,0.5832895428271151,0.6906218144750255,0.5661222048076847,0.7787703625853915
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,7,3332,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-3332,1962,580,405,410,0.5888324873096447,0.5858585858585859,0.5873417721518988,0.6926605504587156,0.5910575216608438,0.8020253164556962
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,8,3808,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-3808,1962,574,389,416,0.5960539979231568,0.5797979797979798,0.5878136200716845,0.6946992864424058,0.5661355000685492,0.7987711213517665
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,9,4284,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-4284,1962,591,368,399,0.616266944734098,0.5969696969696969,0.6064648537711647,0.7054026503567788,0.5748583208248397,0.8004104669061056
relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro,NeuML/pubmedbert-base-embeddings,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,10,4760,relations-bert-2026-07-01_20-51-41_BioRedPerturbated_micro/checkpoint-4760,1962,583,386,407,0.6016511867905057,0.5888888888888889,0.5952016334864726,0.6992864424057085,0.577031333123012,0.8024502297090353
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,1,476,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-476,1962,346,274,644,0.5580645161290323,0.3494949494949494,0.4298136645962732,0.6044852191641182,0.2079481142281118,0.6062111801242236
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,2,952,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-952,1962,530,536,460,0.4971857410881801,0.5353535353535354,0.5155642023346304,0.617737003058104,0.289048123022757,0.754863813229572
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,3,1428,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-1428,1962,352,235,638,0.5996592844974447,0.3555555555555555,0.4464172479391249,0.6182466870540265,0.2782780553299516,0.6036778693722257
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,4,1904,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-1904,1962,498,463,492,0.518210197710718,0.503030303030303,0.5105074320861097,0.6279306829765545,0.3352168042760486,0.7411583803177857
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,5,2380,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-2380,1962,515,477,475,0.5191532258064516,0.5202020202020202,0.5196770938446015,0.6325178389398572,0.3771581834800858,0.7527749747729566
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,6,2856,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-2856,1962,488,432,502,0.5304347826086957,0.4929292929292929,0.5109947643979058,0.636085626911315,0.3446850729106157,0.7413612565445027
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,7,3332,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-3332,1962,482,401,508,0.5458663646659117,0.4868686868686869,0.5146823278163375,0.6401630988786952,0.4036442676551068,0.7314468766684464
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,8,3808,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-3808,1962,480,393,510,0.5498281786941581,0.4848484848484848,0.5152979066022545,0.6401630988786952,0.3737186472188766,0.726784755770263
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,9,4284,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-4284,1962,502,424,488,0.5421166306695464,0.5070707070707071,0.5240083507306891,0.6427115188583078,0.4427072987251863,0.744258872651357
relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro,bioformers/bioformer-8L,BioRedPerturbated,BioRedPerturbated,Test,matched_norelation,10,4760,relations-bert-BioFormer8L-2026-07-01_22-24-16_BioRedPerturbated_micro/checkpoint-4760,1962,503,437,487,0.5351063829787234,0.5080808080808081,0.5212435233160622,0.6406727828746177,0.4288799862942913,0.7481865284974093
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,1,522,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-522,2326,549,522,614,0.5126050420168067,0.472055030094583,0.4914950760966876,0.6397248495270851,0.2516884652691735,0.7582811101163833
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,1,522,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-522,10097,549,1909,614,0.2233523189585028,0.472055030094583,0.3032311516155758,0.7796375160938893,0.2100767338762189,0.4678265672466169
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,2,1044,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1044,2326,636,588,527,0.5196078431372549,0.5468615649183147,0.5328864683703394,0.6573516766981943,0.2557308387593324,0.799329702555509
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,2,1044,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1044,10097,636,2713,527,0.1899074350552403,0.5468615649183147,0.2819148936170212,0.7106071110230762,0.1898691870760296,0.4228723404255319
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,matched_norelation,3,1566,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1566,2326,587,463,576,0.559047619047619,0.5047291487532244,0.5305015815634884,0.6702493551160791,0.3206018257841563,0.7763217352010845
relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro,bioformers/bioformer-8L,BioRed,BioRed,Test,full_norelation,3,1566,relations-bert_bioformers-bioformer-8L_2026-07-01_22-52-43_BioRed_micro/checkpoint-1566,10097,587,1867,576,0.23920130399348,0.5047291487532244,0.3245783798728228,0.7849856392988016,0.2586915638101563,0.4749792645839093
